franchise_id,franchise_name,phone,website,email,county_codes
1,"Abbott, Hackett and O'Conner",1-648-177-9510,auto-service.co/bw-319-x,Lupe-2485@auto-service.co,"36101,36055,36071"
2,Rutherford-Nienow,1-543-684-2376,auto-service.co/cx-972-h,Benedict-4713@auto-service.co,"42033,42085,36099,42105"
3,Larson Inc,1-659-875-2868,auto-service.co/sw-090-w,Mollie-4450@auto-service.co,"36069,36045,42005,42025"
4,Runolfsdottir and Sons,1-429-495-3107,auto-service.co/yt-783-e,Tyree-4334@auto-service.co,"42101,42117,36003"
5,"Hoppe, Crist and Gerlach",1-606-640-2298,auto-service.co/zy-860-k,Duane-9569@auto-service.co,36089
6,Wehner-Hoppe,1-216-454-1326,auto-service.co/be-748-u,Osvaldo-7194@auto-service.co,"36095,42095"
7,Toy Group,1-599-963-8312,auto-service.co/bs-881-y,Delores-1942@auto-service.co,"42133,36055,42133,42091,36081,36123,42109,36107"
8,"Roberts, Murray and Eichmann",1-642-787-6685,auto-service.co/yf-340-u,Cleta-1534@auto-service.co,"42101,36117,42063,36091,36035"
9,"Marks, Sauer and Metz",1-345-358-6863,auto-service.co/cv-774-j,Alexa-0258@auto-service.co,"42125,42101,42045"
10,"Klocko, Langosh and Pfeffer",1-658-227-6651,auto-service.co/rp-701-f,Jack-3827@auto-service.co,"42099,36091,36067,36081,36105,36053"
11,Feest-Mertz,1-520-062-9562,auto-service.co/pr-544-o,Anthony-9886@auto-service.co,"42033,36119,36087,36075,36033"
12,McCullough Group,1-394-034-2705,auto-service.co/dc-734-z,Boris-5867@auto-service.co,"42089,36039,36057,36049,42091,34031,42093,36003,36077"
13,"Sawayn, Grady and Metz",1-344-539-5790,auto-service.co/tj-641-f,Joie-9585@auto-service.co,"42057,36121,42063"
14,Kunde-Christiansen,1-507-198-5936,auto-service.co/oa-462-f,Lyndia-5873@auto-service.co,"42077,42119,42063"
15,Conn-Wintheiser,1-629-100-9428,auto-service.co/po-384-j,Layne-1387@auto-service.co,36059
16,"Trantow, Upton and Adams",1-591-417-2798,auto-service.co/br-052-c,Dick-2010@auto-service.co,"36071,42009,42071,36033,36085"
17,"Feest, Schuster and McGlynn",1-559-775-3965,auto-service.co/sa-931-u,Terra-3285@auto-service.co,42089
18,Pfeffer-Hand,1-603-047-3581,auto-service.co/na-190-c,Chet-0919@auto-service.co,"36071,42019,42013,42065,36111,36073,42079,34031,42005,42089"
19,Grant Inc,1-619-756-0987,auto-service.co/ou-997-d,Mikel-4490@auto-service.co,"42069,42005,36099,42059"
20,Borer-Schaden,1-697-478-7449,auto-service.co/lx-352-t,Donte-1919@auto-service.co,"36023,36039,42085,36107,42057,36103,36083,36007,42109"
21,"Collier, Thompson and Vandervort",1-251-669-9463,auto-service.co/cp-694-b,Nancy-1284@auto-service.co,42103
22,"Thompson, Walsh and Grimes",1-682-842-4890,auto-service.co/kb-214-s,Danelle-8718@auto-service.co,"42009,42101,36017"
23,Hauck Inc,1-699-336-6892,auto-service.co/cq-128-k,Napoleon-6799@auto-service.co,36077
24,O'Conner and Sons,1-639-478-7881,auto-service.co/yg-153-q,Vanda-6385@auto-service.co,"42077,42031,36081,36037,36023,42093"
25,"Prohaska, Gibson and Rolfson",1-568-093-4104,auto-service.co/yw-159-d,Florida-5511@auto-service.co,"36021,36111,36055,42015,42013,36053,42119,42065"
26,Hane LLC,1-456-759-5231,auto-service.co/pz-757-h,Shaunte-7109@auto-service.co,"42013,36075,42087,36081,42035"
27,Casper LLC,1-640-206-6282,auto-service.co/cv-258-j,Arlen-4430@auto-service.co,"42107,36119,42009,36121,42087,42033,42083"
28,Stanton-Emard,1-602-116-9624,auto-service.co/rx-633-z,Edda-4673@auto-service.co,42119
29,"Kautzer, Leannon and Conn",1-695-987-9799,auto-service.co/kl-883-g,Ira-5654@auto-service.co,"36039,42005,36121,42125,42113,42003,34003"
30,"Franecki, Schowalter and Carter",1-699-467-7357,auto-service.co/ao-143-h,Donny-4423@auto-service.co,"36071,42123,36091,42035,42055"
31,Sauer Group,1-573-438-2919,auto-service.co/jy-361-o,Michael-8252@auto-service.co,"42049,42103,34003,42127,42095,36091,42113"
32,Ernser-Gusikowski,1-578-036-4748,auto-service.co/yc-885-k,Ervin-3062@auto-service.co,"36061,42097,42049,34003,36013,34003,36075,42039,42023"
33,Krajcik-Dietrich,1-476-442-7997,auto-service.co/jd-325-y,Louvenia-8321@auto-service.co,"36101,36045,42037"
34,Franecki LLC,1-486-267-6281,auto-service.co/cr-468-q,Marty-0611@auto-service.co,"42099,42059,42019,36003,36025,42123,36065"
35,Schaefer Inc,1-469-189-6282,auto-service.co/xa-947-g,Milly-9754@auto-service.co,"42079,36081,42035,36071,36039,36045"
36,Huels and Sons,1-549-800-4545,auto-service.co/tl-182-x,Tanner-2346@auto-service.co,"34031,36003,36051,42097,42067,42111,36025,36003,42083,42053"
37,"McLaughlin, Grady and Schaden",1-687-666-0446,auto-service.co/tv-238-x,Travis-3657@auto-service.co,"36091,42031,42067,42131"
38,Kutch Inc,1-214-514-7918,auto-service.co/hf-197-j,Fredrick-4747@auto-service.co,"36097,42033,42009,36021,42085,42115"
39,Kohler-Rolfson,1-576-925-7286,auto-service.co/cl-161-t,Odelia-5068@auto-service.co,"42105,42075"
40,"Grady, Greenholt and Gibson",1-227-068-4274,auto-service.co/qz-663-s,Nick-0298@auto-service.co,36089
41,"Toy, DuBuque and Wunsch",1-660-593-6704,auto-service.co/tf-202-e,Zona-0863@auto-service.co,36055
42,Stamm LLC,1-466-315-8603,auto-service.co/jx-879-z,Donn-2293@auto-service.co,"36011,42027,36049,42127,42109,42095,36077,36023"
43,Marquardt-Herman,1-627-562-6538,auto-service.co/od-338-x,Randal-7980@auto-service.co,"36001,36107,36077,36105,36053,42059,42035"
44,"King, Altenwerth and Effertz",1-201-998-3780,auto-service.co/mt-267-c,Andra-6673@auto-service.co,42083
45,Keeling and Sons,1-582-884-2314,auto-service.co/os-082-l,Laronda-6244@auto-service.co,42051
46,Crooks-Lehner,1-512-024-9938,auto-service.co/gd-940-l,Zack-7140@auto-service.co,"36009,34031,36077,42045"
47,Wisozk and Sons,1-503-358-1751,auto-service.co/zh-319-f,Venetta-2575@auto-service.co,"36091,36059,42033,36017"
48,Reynolds-Auer,1-691-408-7297,auto-service.co/fo-413-t,Jeanene-4407@auto-service.co,"42065,42065,36015"
49,Sipes-Rau,1-591-485-7459,auto-service.co/vf-794-v,Valda-3154@auto-service.co,"36013,42069,36111,36121"
50,"Labadie, Marquardt and Dicki",1-698-379-4037,auto-service.co/us-618-v,Britteny-4994@auto-service.co,"42127,42009,36031,36105,42051,42041"
51,Hoppe LLC,1-613-187-9223,auto-service.co/cg-590-c,Issac-0677@auto-service.co,36045
52,Jones-Hartmann,1-669-842-2284,auto-service.co/fc-348-b,Shanika-4068@auto-service.co,"42067,42101,42065"
53,"Schaden, Jacobson and Tillman",1-345-702-6768,auto-service.co/pi-230-v,Wava-7624@auto-service.co,"36049,36043,36105"
54,Dicki and Sons,1-678-230-6563,auto-service.co/pm-442-n,Lilli-8308@auto-service.co,"42045,42125,36017,42043,42013,36045"
55,Cronin Group,1-654-508-7233,auto-service.co/ct-170-u,Willia-5157@auto-service.co,"36027,36079,42125,36055,42131,42051,36049,42053"
